KP,T
0,55.27
333.03,52.2
833.05,48.15
1333.08,44.62
1833.1001,41.49
2333.1251,38.6
2833.15,36.05
3333.16,33.69
3833.21,31.64
4333.23,29.77
4833.25,28.13
5333.27,26.58
5833.29,25.25
6333.34,23.97
6833.36,22.88
7333.38,21.82
7833.39,20.93
8333.41,20.05
8833.46,19.33
9333.48,18.6
9833.5,18.01
10333.52,17.41
10833.54,16.93
11333.59,16.42
12333.63,15.62
12833.64,15.32
13333.66,14.99
14333.7,14.47
14833.75,14.28
15333.77,14.04
16833.86,13.55
17333.88,13.38
18833.96,13.05
20334.02,12.75
24834.24,12.3
30334.64,12.03
49700,12
