TimeDate,KP,DCC (m),Easting (m),Northing (m),TOP (m),BOP (m),MADJ (m),MSBL (m),DOC (m),DOL (m),Comment
14/08/2017,0,-1.67,335896.79,6464414.5,140.17,140.44,140.95,141.24,-0.78,-1.07,
14/08/2017,0.002,-2.28,335897.61,6464413.19,140.74,141.01,140.86,141.18,-0.12,-0.44,
14/08/2017,0.002,-2.56,335897.98,6464412.59,140.85,141.13,140.98,141.1,-0.13,-0.25,
14/08/2017,0.003,-2.91,335898.45,6464411.83,140.91,141.18,141.08,141.07,-0.17,-0.16,
14/08/2017,0.006,-3.25,335899.24,6464410.56,140.83,141.1,140.96,140.84,-0.13,-0.01,
14/08/2017,0.006,-3.26,335899.44,6464410.24,140.8,141.07,140.94,140.96,-0.14,-0.16,
14/08/2017,0.007,-3.29,335899.92,6464409.46,140.78,141.05,140.95,141.11,-0.17,-0.33,
14/08/2017,0.008,-3.32,335900.43,6464408.66,140.79,141.06,140.94,141.05,-0.15,-0.26,
14/08/2017,0.009,-3.31,335900.96,6464407.73,140.86,141.13,140.98,140.96,-0.12,-0.1,
14/08/2017,0.011,-3.09,335901.32,6464406.81,140.92,141.19,140.9,140.9,0.02,0.02,
14/08/2017,0.012,-2.71,335901.61,6464405.79,140.95,141.22,140.94,140.93,0.01,0.02,
14/08/2017,0.012,-2.33,335901.72,6464405.02,140.96,141.23,140.93,140.92,0.03,0.04,
14/08/2017,0.013,-1.8,335901.88,6464403.92,140.94,141.22,141.01,140.96,-0.07,-0.02,
14/08/2017,0.013,-1.8,335901.88,6464403.92,140.94,141.22,141.01,140.96,-0.07,-0.02,
14/08/2017,0.014,-1.75,335902.01,6464401.88,140.9,141.17,141.01,140.97,-0.11,-0.07,
14/08/2017,0.015,-1.44,335901.69,6464400.43,140.82,141.09,140.93,141.02,-0.11,-0.2,
14/08/2017,0.015,-1.44,335901.69,6464400.43,140.82,141.09,140.93,141.02,-0.11,-0.2,
14/08/2017,0.015,-1.44,335901.69,6464400.43,140.82,141.09,140.93,141.02,-0.11,-0.2,
14/08/2017,0.017,-1.02,335899.43,6464398.97,140.78,141.05,140.88,140.95,-0.1,-0.17,
14/08/2017,0.018,-0.76,335898.45,6464398.72,140.76,141.03,140.82,140.91,-0.06,-0.15,
14/08/2017,0.019,-0.46,335897.18,6464398.41,140.74,141.01,140.83,140.97,-0.09,-0.23,
14/08/2017,0.025,-0.29,335891.65,6464397.09,140.74,141.01,140.88,140.94,-0.14,-0.2,
14/08/2017,0.03,-0.13,335886.76,6464395.95,140.77,141.04,140.94,141,-0.17,-0.23,
14/08/2017,0.035,0.03,335881.88,6464394.83,140.79,141.06,140.93,140.96,-0.14,-0.17,
14/08/2017,0.04,0.19,335876.93,6464393.71,140.79,141.06,140.91,141.03,-0.12,-0.24,
14/08/2017,0.045,0.25,335872.13,6464392.61,140.79,141.06,140.96,141.07,-0.17,-0.28,
14/08/2017,0.05,0.17,335867.3,6464391.42,140.82,141.1,140.95,141.18,-0.13,-0.36,
14/08/2017,0.052,0.11,335865.36,6464390.93,140.86,141.13,140.98,141.14,-0.12,-0.28,
14/08/2017,0.053,0.09,335864.41,6464390.69,140.88,141.16,140.96,141.17,-0.08,-0.29,
14/08/2017,0.054,0.08,335863.52,6464390.48,140.91,141.18,140.97,141.04,-0.06,-0.13,
14/08/2017,0.055,0.07,335862.57,6464390.25,140.94,141.21,140.89,141.03,0.05,-0.09,
14/08/2017,0.056,0.06,335861.59,6464390.01,140.97,141.24,140.96,140.99,0.01,-0.02,
14/08/2017,0.057,0.04,335860.68,6464389.8,141,141.27,140.98,140.99,0.02,0.01,
14/08/2017,0.058,0.05,335859.61,6464389.56,141.03,141.3,141.01,141.09,0.02,-0.06,
14/08/2017,0.059,0.08,335858.67,6464389.38,141.05,141.33,141.1,141.05,-0.05,0,
14/08/2017,0.06,0.1,335857.7,6464389.19,141.08,141.35,141.12,141.05,-0.04,0.03,
14/08/2017,0.061,0.11,335856.7,6464388.98,141.1,141.37,141.18,141.08,-0.08,0.02,
14/08/2017,0.062,0.12,335855.74,6464388.78,141.12,141.4,141.19,141.09,-0.07,0.03,
14/08/2017,0.065,0.18,335852.79,6464388.2,141.19,141.46,141.23,141.2,-0.04,-0.01,
14/08/2017,0.07,0.27,335847.92,6464387.3,141.28,141.55,141.31,141.24,-0.03,0.04,
14/08/2017,0.075,0.28,335843,6464386.41,141.37,141.64,141.38,141.27,-0.01,0.1,
14/08/2017,0.08,0.16,335838.1,6464385.52,141.42,141.69,141.44,141.39,-0.02,0.03,
14/08/2017,0.085,-0.11,335833.12,6464384.64,141.46,141.73,141.51,141.48,-0.05,-0.02,
14/08/2017,0.086,-0.17,335832.18,6464384.48,141.46,141.74,141.54,141.45,-0.08,0.01,
14/08/2017,0.087,-0.22,335831.19,6464384.32,141.47,141.74,141.55,141.43,-0.08,0.04,
14/08/2017,0.088,-0.29,335830.14,6464384.14,141.48,141.75,141.56,141.43,-0.08,0.05,
14/08/2017,0.089,-0.34,335829.23,6464383.99,141.49,141.76,141.55,141.45,-0.06,0.04,
14/08/2017,0.09,-0.41,335828.22,6464383.82,141.49,141.77,141.54,141.49,-0.05,0,
14/08/2017,0.091,-0.49,335827.2,6464383.63,141.5,141.77,141.57,141.44,-0.07,0.06,
14/08/2017,0.091,-0.57,335826.3,6464383.46,141.51,141.78,141.56,141.46,-0.05,0.05,
14/08/2017,0.093,-0.66,335825.27,6464383.26,141.53,141.8,141.58,141.45,-0.05,0.08,
14/08/2017,0.094,-0.73,335824.28,6464383.09,141.55,141.82,141.59,141.49,-0.04,0.06,
14/08/2017,0.094,-0.78,335823.33,6464382.94,141.57,141.85,141.64,141.48,-0.07,0.09,
14/08/2017,0.096,-0.81,335822.31,6464382.8,141.6,141.87,141.61,141.47,-0.01,0.13,
14/08/2017,0.097,-0.84,335821.32,6464382.67,141.62,141.9,141.68,141.39,-0.06,0.23,
14/08/2017,0.098,-0.87,335820.28,6464382.54,141.65,141.92,141.63,141.48,0.02,0.17,
14/08/2017,0.1,-0.93,335818.3,6464382.29,141.7,141.97,141.68,141.3,0.02,0.4,
14/08/2017,0.105,-1.15,335813.3,6464381.61,141.8,142.07,141.66,141.24,0.14,0.56,
14/08/2017,0.107,-1.18,335811.39,6464381.31,141.82,142.1,141.7,141.35,0.12,0.47,
14/08/2017,0.108,-1.21,335810.41,6464381.15,141.84,142.11,141.77,141.31,0.07,0.53,
14/08/2017,0.109,-1.25,335809.37,6464380.96,141.84,142.12,141.87,141.28,-0.03,0.56,
14/08/2017,0.11,-1.29,335808.48,6464380.8,141.85,142.13,141.89,141.43,-0.04,0.42,
14/08/2017,0.111,-1.29,335807.48,6464380.62,141.86,142.14,141.93,141.43,-0.07,0.43,
14/08/2017,0.112,-1.28,335806.48,6464380.44,141.87,142.15,141.96,141.4,-0.09,0.47,
14/08/2017,0.113,-1.26,335805.51,6464380.27,141.88,142.16,142.13,141.42,-0.25,0.46,
14/08/2017,0.114,-1.23,335804.53,6464380.11,141.89,142.17,142.23,141.48,-0.34,0.41,
14/08/2017,0.115,-1.2,335803.57,6464379.96,141.91,142.18,142.36,141.62,-0.45,0.29,
14/08/2017,0.116,-1.09,335802.56,6464379.81,141.92,142.19,142.42,141.69,-0.5,0.23,
14/08/2017,0.117,-0.96,335801.74,6464379.69,141.93,142.2,142.57,141.77,-0.64,0.16,
14/08/2017,0.118,-0.8,335800.68,6464379.53,141.94,142.21,142.54,141.54,-0.6,0.4,
14/08/2017,0.119,-0.67,335799.74,6464379.38,141.94,142.21,142.62,141.73,-0.68,0.21,
14/08/2017,0.12,-0.54,335798.74,6464379.22,141.94,142.21,142.55,141.56,-0.61,0.38,
14/08/2017,0.121,-0.42,335797.78,6464379.06,141.93,142.21,142.51,141.58,-0.58,0.35,
14/08/2017,0.121,-0.29,335796.81,6464378.89,141.92,142.2,142.38,141.37,-0.46,0.55,
14/08/2017,0.123,-0.2,335795.74,6464378.7,141.91,142.18,142.27,141.45,-0.36,0.46,
14/08/2017,0.123,-0.14,335794.82,6464378.54,141.89,142.17,142.18,141.53,-0.29,0.36,
14/08/2017,0.124,-0.08,335793.88,6464378.37,141.88,142.15,142.05,141.26,-0.17,0.62,
14/08/2017,0.125,-0.01,335792.91,6464378.21,141.86,142.13,141.89,141.41,-0.03,0.45,
14/08/2017,0.126,0.06,335791.87,6464378.03,141.84,142.11,141.88,141.43,-0.04,0.41,
14/08/2017,0.127,0.11,335790.89,6464377.86,141.82,142.09,141.83,141.38,-0.01,0.44,
14/08/2017,0.128,0.16,335789.92,6464377.7,141.79,142.07,141.84,141.3,-0.05,0.49,
14/08/2017,0.129,0.2,335788.99,6464377.54,141.76,142.04,141.82,141.31,-0.06,0.45,
14/08/2017,0.13,0.25,335787.96,6464377.37,141.73,142,141.87,141.12,-0.14,0.61,
14/08/2017,0.131,0.29,335787.04,6464377.21,141.69,141.96,141.89,141.15,-0.2,0.54,
14/08/2017,0.132,0.35,335786.12,6464377.06,141.65,141.93,141.92,141.22,-0.27,0.43,
14/08/2017,0.133,0.4,335785.19,6464376.9,141.61,141.89,141.91,141.37,-0.3,0.24,
14/08/2017,0.134,0.46,335784.16,6464376.73,141.56,141.84,141.86,141.25,-0.3,0.31,
14/08/2017,0.135,0.51,335783.25,6464376.57,141.52,141.79,141.79,141.3,-0.27,0.22,
14/08/2017,0.136,0.57,335782.27,6464376.4,141.47,141.74,141.75,141.32,-0.28,0.15,
14/08/2017,0.137,0.6,335781.28,6464376.23,141.42,141.69,141.69,141.3,-0.27,0.12,
14/08/2017,0.138,0.63,335780.31,6464376.06,141.37,141.64,141.64,141.25,-0.27,0.12,
14/08/2017,0.139,0.65,335779.31,6464375.89,141.32,141.6,141.63,141.24,-0.31,0.08,
14/08/2017,0.14,0.68,335778.35,6464375.72,141.29,141.56,141.51,141.22,-0.22,0.07,
